Modulo,Domanda,Opzione,Risposta Corretta
Modulo 2 - Unità didattica 1,Il Soggetto Giuridico,Può essere solo la Persona Fisica nel cui nome l’attività aziendale è esercitata,FALSO
Modulo 2 - Unità didattica 1,Il Soggetto Giuridico,"Può essere indifferentemente la Persona Fisica o Giuridica, entrambe hanno capacità giuridica",VERO
Modulo 2 - Unità didattica 1,La Società S.a.S.,È una società di Persone,VERO
Modulo 2 - Unità didattica 1,La Società S.a.S.,È una società di Capitali,FALSO
Modulo 2 - Unità didattica 1,La Società S.a.S.,È una società a responsabilità illimitata dell’imprenditore accomandatario,VERO
Modulo 2 - Unità didattica 1,La Società S.a.S.,È una società a responsabilità limitata solo per i soci accomandanti,VERO
Modulo 2 - Unità didattica 1,La Società S.a.S.,E' una società a responsabilità dei soci limitata al capitale effettivamente sottoscritto,FALSO
Modulo 2 - Unità didattica 1,La Società S.a.S.,E' una società a responsabilità dei soci illimitata oltre al capitale sottoscritto,FALSO
Modulo 2 - Unità didattica 1,La Società S.n.c.,È una società in Nome Collettivo,VERO
Modulo 2 - Unità didattica 1,La Società S.n.c.,È una forma giuridica di società in cui tutti i soci sono responsabili solidalmente e illimitatamente per le obbligazioni della società,VERO
Modulo 2 - Unità didattica 1,La Società S.n.c.,È una forma giuridica di società che prevede un amministratore unico,FALSO
Modulo 2 - Unità didattica 1,La Società S.n.c.,E' una società di Capitali,FALSO
Modulo 2 - Unità didattica 1,La Società S.n.c.,E' una società che prevede un capitale minimo da versare,FALSO
Modulo 2 - Unità didattica 1,La Società S.n.c.,E' una società che prevede la mancanza di separazione tra patrimonio personale e aziendale,VERO
Modulo 2 - Unità didattica 1,La Società S.p.A.,È una società di Persone,FALSO
Modulo 2 - Unità didattica 1,La Società S.p.A.,È una società di Capitali,VERO
Modulo 2 - Unità didattica 1,La Società S.p.A.,Può avere un azionariato diffuso,VERO
Modulo 2 - Unità didattica 1,La Società S.p.A.,Ha autonomia patrimoniale perfetta: gli azionisti non hanno responsabilità personale sulle obbligazioni sociali,VERO
Modulo 2 - Unità didattica 1,La Società S.p.A.,Ha autonomia patrimoniale imperfetta: gli azionisti possono avere responsabilità personale sulle obbligazioni sociali,FALSO
Modulo 2 - Unità didattica 1,La Società S.p.A.,Di solito ha dimensioni medio-piccole,FALSO
Modulo 2 - Unità didattica 1,La Società S.r.l.,È una società in cui i soci rispondono delle obbligazioni sociali anche oltre i limiti di quanto hanno conferito,FALSO
Modulo 2 - Unità didattica 1,La Società S.r.l.,È una società di capitali le cui partecipazioni sono rappresentate da quote e non da azioni,VERO
Modulo 2 - Unità didattica 1,La Società S.r.l.,È una società in cui per le obbligazioni sociali risponde solo la società stessa con il suo patrimonio,VERO
Modulo 2 - Unità didattica 1,La Società S.r.l.,Sono sempre società a responsabilità limitata di un solo imprenditore,FALSO
Modulo 2 - Unità didattica 1,La Società S.r.l.,Sono Società a responsabilità dei soci limitata al capitale sottoscritto,VERO
Modulo 2 - Unità didattica 1,La Società S.r.l.,Sono Società a responsabilità dei soci illimitata oltre al capitale sottoscritto,FALSO
Modulo 2 - Unità didattica 1,La Utility,È un’azienda di servizio pubblico,VERO
Modulo 2 - Unità didattica 1,La Utility,Può erogare qualunque tipo di servizio basta che sia rivolto alla collettività,FALSO
Modulo 2 - Unità didattica 1,La Utility,"Eroga, in regime di monopolio o quasi-monopolio, beni e servizi essenziali per la collettività",VERO
Modulo 2 - Unità didattica 1,La Utility,Non è soggetta a nessuna regolamentazione da parte dei poteri pubblici perché opera in regime di libero mercato,FALSO
Modulo 2 - Unità didattica 1,La Utility,"È soggetta ad una particolare regolamentazione da parte dei poteri pubblici, sia nella gestione sia nella fissazione delle tariffe",VERO
Modulo 2 - Unità didattica 1,La Utility,"Può erogare servizi come la fornitura di energia, la fornitura di acqua potabile e lo smaltimento dei rifiuti",VERO
Modulo 2 - Unità didattica 1,Le aziende di produzione,Hanno obiettivi primari legati alla stessa sopravvivenza dell’impresa,VERO
Modulo 2 - Unità didattica 1,Le aziende di produzione,Sono solo le aziende che assemblano direttamente i beni o forniscono direttamente i servizi,FALSO
Modulo 2 - Unità didattica 1,Le aziende di produzione,Sono sia le aziende che producono direttamente beni o servizi sia quelle che creano valore aggiunto a beni e servizi già esistenti,VERO
Modulo 2 - Unità didattica 1,Le aziende di produzione,Hanno tra gli obiettivi la massimizzazione del profitto,VERO
Modulo 2 - Unità didattica 1,Le aziende di produzione,Hanno tra gli obiettivi la soddisfazione di un limitato gruppo di persone,FALSO
Modulo 2 - Unità didattica 1,Le aziende di produzione,Non possono essere aziende individuali,FALSO
Modulo 2 - Unità didattica 1,Le aziende di produzione hanno obiettivi,Primari ovvero legati alla stessa sopravvivenza dell'impresa,VERO
Modulo 2 - Unità didattica 1,Le aziende di produzione hanno obiettivi,Primari che sono collegati ai processi produttivi e alla vendita dei prodotti sul mercato,VERO
Modulo 2 - Unità didattica 1,Le aziende di produzione hanno obiettivi,Secondari ovvero obiettivi di importanza secondaria,FALSO
Modulo 2 - Unità didattica 1,Le aziende di produzione hanno obiettivi,"Secondari ovvero il cui raggiungimento permette di conseguire, nel modo più economico possibile, gli obiettivi primari",VERO
Modulo 2 - Unità didattica 1,Le aziende di produzione hanno obiettivi,Collaterali ovvero obiettivi economici come le rendimento e la massimizzazione del profitto,VERO
Modulo 2 - Unità didattica 1,Le aziende di produzione hanno obiettivi,"Collaterali ovvero obiettivi incidentali, non previsti preventivamente",FALSO
Modulo 2 - Unità didattica 1,Le Società di Persone,Per legge non hanno un importo minimo per il capitale sociale,VERO
Modulo 2 - Unità didattica 1,Le Società di Persone,Per legge hanno un importo minimo per il capitale sociale,FALSO
Modulo 2 - Unità didattica 1,Le Società di Persone,"Non prevedono organi sociali, ogni socio illimitatamente responsabile può amministrare",VERO
Modulo 2 - Unità didattica 1,Le Società di Persone,Possono prevedere più organi sociali ognuno con le proprie competenze,FALSO
Modulo 2 - Unità didattica 1,Le Società di Persone,Hanno un’autonomia patrimoniale definita “imperfetta”: i creditori sociali possono agire sul patrimonio personale dei singoli soci ma solo dopo aver escusso infruttuosamente sul patrimonio sociale,VERO
Modulo 2 - Unità didattica 1,Le Società di Persone,"Hanno un’autonomia patrimoniale definita “perfetta”: i soci sono personalmente responsabili delle obbligazioni sociali, solo i beni conferiti sono formalmente di proprietà della società",FALSO
Modulo 2 - Unità didattica 1,Per realizzare un Prodotto o un Servizio un’azienda,Può utilizzare solo i beni di consumo,FALSO
Modulo 2 - Unità didattica 1,Per realizzare un Prodotto o un Servizio un’azienda,Può utilizzare solo i beni strumentali,FALSO
Modulo 2 - Unità didattica 1,Per realizzare un Prodotto o un Servizio un’azienda,Ha necessità solo di beni materiali,FALSO
Modulo 2 - Unità didattica 1,Per realizzare un Prodotto o un Servizio un’azienda,"Necessità di beni strumentali, materiali e know-how",VERO
Modulo 2 - Unità didattica 1,Per realizzare un Prodotto o un Servizio un’azienda,"Nel caso della realizzazione di un bene materiale, ha necessità di tutti i materiali costitutivi, gli strumenti o le macchine per l’assemblaggio e la conoscenza per finalizzare le attività produttive",VERO
Modulo 2 - Unità didattica 1,Per realizzare un Prodotto o un Servizio un’azienda,Può non essere necessaria la conoscenza specifica per finalizzarne le attività di produzione,FALSO
Modulo 2 - Unità didattica 1,Quale dei seguenti servizi può erogare un’azienda di tipo Utility,Fornitura di acqua e smaltimento acque reflue,VERO
Modulo 2 - Unità didattica 1,Quale dei seguenti servizi può erogare un’azienda di tipo Utility,Fornitura di servizi web,VERO
Modulo 2 - Unità didattica 1,Quale dei seguenti servizi può erogare un’azienda di tipo Utility,Raccolta e riciclo/smaltimento rifiuti,VERO
Modulo 2 - Unità didattica 1,Quale dei seguenti servizi può erogare un’azienda di tipo Utility,"Fornitura energia (elettricità, gas)",VERO
Modulo 2 - Unità didattica 1,Quale dei seguenti servizi può erogare un’azienda di tipo Utility,Fornitura riscaldamento,VERO
Modulo 2 - Unità didattica 1,Quale dei seguenti servizi può erogare un’azienda di tipo Utility,Fornitura di telefonia fissa,VERO
Modulo 2 - Unità didattica 1,Quali dei seguenti elementi (o funzioni aziendali) sono di solito interni ad un’azienda:,Risorse Umane (HR),VERO
Modulo 2 - Unità didattica 1,Quali dei seguenti elementi (o funzioni aziendali) sono di solito interni ad un’azienda:,Produzione,VERO
Modulo 2 - Unità didattica 1,Quali dei seguenti elementi (o funzioni aziendali) sono di solito interni ad un’azienda:,Vendite,VERO
Modulo 2 - Unità didattica 1,Quali dei seguenti elementi (o funzioni aziendali) sono di solito interni ad un’azienda:,Fornitura materie prime,FALSO
Modulo 2 - Unità didattica 1,Quali dei seguenti elementi (o funzioni aziendali) sono di solito interni ad un’azienda:,Marketing,VERO
Modulo 2 - Unità didattica 1,Quali dei seguenti elementi (o funzioni aziendali) sono di solito interni ad un’azienda:,Servizio Cloud,FALSO
Modulo 2 - Unità didattica 1,Quali dei seguenti elementi possono essere classificati beni immateriali:,Servizi erogati,VERO
Modulo 2 - Unità didattica 1,Quali dei seguenti elementi possono essere classificati beni immateriali:,Valore del sito produttivo,FALSO
Modulo 2 - Unità didattica 1,Quali dei seguenti elementi possono essere classificati beni immateriali:,Know-how,VERO
Modulo 2 - Unità didattica 1,Quali dei seguenti elementi possono essere classificati beni immateriali:,Concessioni esclusive,VERO
Modulo 2 - Unità didattica 1,Quali dei seguenti elementi possono essere classificati beni immateriali:,Valore delle materie prime,FALSO
Modulo 2 - Unità didattica 1,Quali dei seguenti elementi possono essere classificati beni immateriali:,Proprietà intellettuali o brevetti,VERO
Modulo 2 - Unità didattica 1,Quali dei seguenti sono Macrosettori di attività delle aziende di produzione,Primario,VERO
Modulo 2 - Unità didattica 1,Quali dei seguenti sono Macrosettori di attività delle aziende di produzione,Produttivo diretto o Secondario,VERO
Modulo 2 - Unità didattica 1,Quali dei seguenti sono Macrosettori di attività delle aziende di produzione,Secondario avanzato,FALSO
Modulo 2 - Unità didattica 1,Quali dei seguenti sono Macrosettori di attività delle aziende di produzione,Dei Servizi o Terziario,VERO
Modulo 2 - Unità didattica 1,Quali dei seguenti sono Macrosettori di attività delle aziende di produzione,Terziario avanzato o Quaternario,VERO
Modulo 2 - Unità didattica 1,Quali dei seguenti sono Macrosettori di attività delle aziende di produzione,Quinario,FALSO
Modulo 2 - Unità didattica 1,Quali tra questi elementi possono essere solo interni all’azienda:,Acquisti,VERO
Modulo 2 - Unità didattica 1,Quali tra questi elementi possono essere solo interni all’azienda:,Fornitore di metallo,FALSO
Modulo 2 - Unità didattica 1,Quali tra questi elementi possono essere solo interni all’azienda:,Qualità,VERO
Modulo 2 - Unità didattica 1,Quali tra questi elementi possono essere solo interni all’azienda:,Risorse Umane,VERO
Modulo 2 - Unità didattica 1,Quali tra questi elementi possono essere solo interni all’azienda:,Produzione di un semilavorato a basso valore aggiunto,FALSO
Modulo 2 - Unità didattica 1,Quali tra questi elementi possono essere solo interni all’azienda:,Amministrazione/Contabilità,VERO
Modulo 2 - Unità didattica 1,Un’azienda che distribuisce gas ed elettricità,Appartiene al settore delle Utility,VERO
Modulo 2 - Unità didattica 1,Un’azienda che distribuisce gas ed elettricità,Può essere definita anche Multiutility,VERO
Modulo 2 - Unità didattica 1,Un’azienda che distribuisce gas ed elettricità,Può essere un’infrastruttura critica,VERO
Modulo 2 - Unità didattica 1,Un’azienda che distribuisce gas ed elettricità,Può essere un Operatore di Servizi Essenziali,VERO
Modulo 2 - Unità didattica 1,Un’azienda che distribuisce gas ed elettricità,È un’azienda manifatturiera,FALSO
Modulo 2 - Unità didattica 1,Un’azienda che distribuisce gas ed elettricità,Appartiene al settore secondario,FALSO
Modulo 2 - Unità didattica 2,A che tipi di rischio può si incorrere in caso di attacco Cyber al sistema gestionale aziendale?,Rischio generale per la salute umana,FALSO
Modulo 2 - Unità didattica 2,A che tipi di rischio può si incorrere in caso di attacco Cyber al sistema gestionale aziendale?,Rischio di emissioni nocive per l’ambiente,FALSO
Modulo 2 - Unità didattica 2,A che tipi di rischio può si incorrere in caso di attacco Cyber al sistema gestionale aziendale?,Rischio violazione dati sensibili e Privacy,VERO
Modulo 2 - Unità didattica 2,A che tipi di rischio può si incorrere in caso di attacco Cyber al sistema gestionale aziendale?,Rischio Business Continuity,VERO
Modulo 2 - Unità didattica 2,A che tipi di rischio può si incorrere in caso di attacco Cyber al sistema gestionale aziendale?,Rischio Service Continuity,VERO
Modulo 2 - Unità didattica 2,A che tipi di rischio può si incorrere in caso di attacco Cyber al sistema gestionale aziendale?,Rischio economico,VERO
Modulo 2 - Unità didattica 2,Come posso identificare il valore (da proteggere) all'interno un azienda o un organizzazione?,Identificando tutti gli elementi (tangibili e intangibili) che contribuiscono proporzionalmente al fatturato dell'azienda,VERO
Modulo 2 - Unità didattica 2,Come posso identificare il valore (da proteggere) all'interno un azienda o un organizzazione?,Identificando solo gli elementi tangibili che contribuiscono proporzionalmente al fatturato dell'azienda,FALSO
Modulo 2 - Unità didattica 2,Come posso identificare il valore (da proteggere) all'interno un azienda o un organizzazione?,Identificando solo gli asset che sono dotati o hanno a che fare con sistemi computerizzati,FALSO
Modulo 2 - Unità didattica 2,Come posso identificare il valore (da proteggere) all'interno un azienda o un organizzazione?,Intervistando il responsabile IT dell'azienda o dell'organizzazione,FALSO
Modulo 2 - Unità didattica 2,Come posso identificare il valore (da proteggere) all'interno un azienda o un organizzazione?,"Intervistando il TOP, e il middle management nonché le persone chiave che gestiscono i processi aziendali",VERO
Modulo 2 - Unità didattica 2,Come posso identificare il valore (da proteggere) all'interno un azienda o un organizzazione?,Intervistando solo il TOP managament,FALSO
Modulo 2 - Unità didattica 2,Gli asset aziendali,Sono quelle entità all’interno dell’azienda che generano valore,VERO
Modulo 2 - Unità didattica 2,Gli asset aziendali,"Possono essere solo tangibili, ovvero fisici",FALSO
Modulo 2 - Unità didattica 2,Gli asset aziendali,Possono essere tangibili o intangibili,VERO
Modulo 2 - Unità didattica 2,Gli asset aziendali,Se non gestiti correttamente possono mettere a repentaglio l’esistenza dell’intera organizzazione,VERO
Modulo 2 - Unità didattica 2,Gli asset aziendali,Di solito non sono informatici,FALSO
Modulo 2 - Unità didattica 2,Gli asset aziendali,Informatici sono soggetti a fattori di rischio costantemente in evoluzione,VERO
Modulo 2 - Unità didattica 2,Il Sistema Informativo aziendale l’ERP (Enterprise Resource Planning),"È una piattaforma software che raggruppa i sistemi del reparto amministrativo, delle vendite, del magazzino e la logistica",VERO
Modulo 2 - Unità didattica 2,Il Sistema Informativo aziendale l’ERP (Enterprise Resource Planning),Permette che i dati provenienti da molteplici parti dell'azienda vengono raccolti e gestiti in maniera centralizzata,VERO
Modulo 2 - Unità didattica 2,Il Sistema Informativo aziendale l’ERP (Enterprise Resource Planning),Può gestire l’invio dei dettagli relativi alla realizzazione di un prodotto verso i sistemi produttivi,FALSO
Modulo 2 - Unità didattica 2,Il Sistema Informativo aziendale l’ERP (Enterprise Resource Planning),"Può gestire l’inventario dei materiali, le scorte e la movimentazione delle merci",VERO
Modulo 2 - Unità didattica 2,Il Sistema Informativo aziendale l’ERP (Enterprise Resource Planning),Permette di progettare o simulare il funzionamento di un determinato oggetto meccanico,FALSO
Modulo 2 - Unità didattica 2,Il Sistema Informativo aziendale l’ERP (Enterprise Resource Planning),Può essere costituito da una piattaforma SaaS in Cloud,VERO
Modulo 2 - Unità didattica 2,Il valore associato ad un asset in un’azienda di produzione,"Può essere stimato in proporzione all’impatto sul valore della produzione in caso di danneggiamento, fermata o interruzione dello stesso asset",VERO
Modulo 2 - Unità didattica 2,Il valore associato ad un asset in un’azienda di produzione,È certamente sempre lo stesso durante tutto il ciclo di vita (dell’asset stesso),FALSO
Modulo 2 - Unità didattica 2,Il valore associato ad un asset in un’azienda di produzione,Non si può calcolare se l’asset è informatico,FALSO
Modulo 2 - Unità didattica 2,Il valore associato ad un asset in un’azienda di produzione,"Non necessariamente deve essere un valore numerico, può essere riportato su una scala di criticità",VERO
Modulo 2 - Unità didattica 2,Il valore associato ad un asset in un’azienda di produzione,Si associa solo agli asset tangibili,FALSO
Modulo 2 - Unità didattica 2,Il valore associato ad un asset in un’azienda di produzione,Si può assegnare agli asset tangibili ed intangibili,VERO
Modulo 2 - Unità didattica 2,Il vettore di attacco,Sfrutta debolezze informatiche e umane,VERO
Modulo 2 - Unità didattica 2,Il vettore di attacco,"Nella stragrande maggioranza dei casi è frontale, ovvero diretto verso i firewall perimetrali",FALSO
Modulo 2 - Unità didattica 2,Il vettore di attacco,È il veicolo che trasporta gli strumenti per l’attacco,VERO
Modulo 2 - Unità didattica 2,Il vettore di attacco,"Tipicamente sfrutta e-mail di phishing, app malevole o chiavette USB infette",VERO
Modulo 2 - Unità didattica 2,Il vettore di attacco,Non è quasi mai legato alla disattenzione delle persone,FALSO
Modulo 2 - Unità didattica 2,Il vettore di attacco,È la tecnologia che realizza l’attacco stesso all’interno di una organizzazione,FALSO
Modulo 2 - Unità didattica 2,Il vettore di attacco,È il veicolo che trasporta uno o più strumenti utilizzati per realizzare un attacco che sfrutta una o più debolezze o vulnerabilità,VERO
Modulo 2 - Unità didattica 2,Il vettore di attacco,È la tecnica che permette un attacco con l'attaccante fisicamente dall'interno del perimetro di rete aziendale,FALSO
Modulo 2 - Unità didattica 2,Il vettore di attacco,Per esteso può essere anche la tecnica utilizzata per l'accesso non autorizzato da parte di un malintenzionato ad un dispositivo o una rete per scopi nefasti,VERO
Modulo 2 - Unità didattica 2,Il vettore di attacco,"Può sfruttare una rete, un computer o un dispositivo",VERO
Modulo 2 - Unità didattica 2,Il vettore di attacco,Sfrutta unicamente accessi esterni attraverso i portali web,FALSO
Modulo 2 - Unità didattica 2,Il vettore di attacco,È il veicolo (o la tecnica) che può sfruttare debolezze umane come mancanza di conoscenza o attenzione,VERO
Modulo 2 - Unità didattica 2,Il Vettore di Attacco può sfruttare tipicamente,Vulnerabilità informatiche e mancato aggiornamento del software,VERO
Modulo 2 - Unità didattica 2,Il Vettore di Attacco può sfruttare tipicamente,Gestione di identità e permessi non adeguata,VERO
Modulo 2 - Unità didattica 2,Il Vettore di Attacco può sfruttare tipicamente,Meccanismi di autenticazione deboli,VERO
Modulo 2 - Unità didattica 2,Il Vettore di Attacco può sfruttare tipicamente,App malevole,FALSO
Modulo 2 - Unità didattica 2,Il Vettore di Attacco può sfruttare tipicamente,Obsolescenza,VERO
Modulo 2 - Unità didattica 2,Il Vettore di Attacco può sfruttare tipicamente,Mancanza di conoscenza da parte del personale,VERO
Modulo 2 - Unità didattica 2,La piattaforma ERP (Enterprise Resource Planning) quali Sistemi può gestire?,Il portale Web del Procurement (Ufficio Acquisti),VERO
Modulo 2 - Unità didattica 2,La piattaforma ERP (Enterprise Resource Planning) quali Sistemi può gestire?,Il CRM (Customer Relationship Management),VERO
Modulo 2 - Unità didattica 2,La piattaforma ERP (Enterprise Resource Planning) quali Sistemi può gestire?,"Il Gestionale della Logistica (Inventario materiali, Scorte, Movimentazione)",VERO
Modulo 2 - Unità didattica 2,La piattaforma ERP (Enterprise Resource Planning) quali Sistemi può gestire?,Lo SCADA (Supervisory Control And Data Acquisition),FALSO
Modulo 2 - Unità didattica 2,La piattaforma ERP (Enterprise Resource Planning) quali Sistemi può gestire?,Il CAD (Computer Aided Design),FALSO
Modulo 2 - Unità didattica 2,La piattaforma ERP (Enterprise Resource Planning) quali Sistemi può gestire?,"Il Gestionale (Ordini, Fatturazione, Paghe)",VERO
Modulo 2 - Unità didattica 2,Le Aziende di Erogazione,"Non mirano al profitto, ma piuttosto a raggiungere un equilibrio economico o un fine sociale, etico o morale",VERO
Modulo 2 - Unità didattica 2,Le Aziende di Erogazione,"Sono istituzioni il cui scopo principale è il soddisfacimento diretto dei bisogni umani e collettivi, invece del profitto",VERO
Modulo 2 - Unità didattica 2,Le Aziende di Erogazione,"Possono essere organismi come l'INPS, l'INAIL, le ASL, e la pubblica amministrazione in generale, che erogano servizi essenziali alla cittadinanza.",VERO
Modulo 2 - Unità didattica 2,Le Aziende di Erogazione,Possono essere classificate in base alla loro natura giuridica solamente pubbliche,FALSO
Modulo 2 - Unità didattica 2,Le Aziende di Erogazione,Possono in ultimo generare un utile una volta raggiunti gli obiettivi sociali ed etici dello statuto,FALSO
Modulo 2 - Unità didattica 2,Le Aziende di Erogazione,"Hanno come attività prevalente l'impiego delle risorse per l'acquisto e l'utilizzo di beni e servizi, o la loro erogazione diretta",VERO
Modulo 2 - Unità didattica 2,Le aziende industriali,Producono beni tangibili attraverso processi di trasformazione di materie prime e risorse.,VERO
Modulo 2 - Unità didattica 2,Le aziende industriali,"Richiedono investimenti significativi in impianti, attrezzature e tecnologie per garantire la produzione di beni di alta qualità",VERO
Modulo 2 - Unità didattica 2,Le aziende industriali,"Devono gestire correttamente la catena di approvvigionamento, poiché consente di procurare materie prime e componenti necessari per la produzione",VERO
Modulo 2 - Unità didattica 2,Le aziende industriali,Sono sempre piccole e medie imprese,FALSO
Modulo 2 - Unità didattica 2,Le aziende industriali,Sono società pubbliche,FALSO
Modulo 2 - Unità didattica 2,Le aziende industriali,Non sono soggette a normative e regolamentazioni,FALSO
Modulo 2 - Unità didattica 2,Le aziende nel settore terziario,"Possono realizzare attività di intermediazione, o di produzione indiretta di beni, attraverso il commercio degli stessi",VERO
Modulo 2 - Unità didattica 2,Le aziende nel settore terziario,Possono realizzare attività di produzione diretta di beni,FALSO
Modulo 2 - Unità didattica 2,Le aziende nel settore terziario,Possono essere quelle attività complementari e di ausilio ai settori primario e secondario,VERO
Modulo 2 - Unità didattica 2,Le aziende nel settore terziario,"Possono realizzare produzione diretta o indiretta di servizi (ad esempio le aziende bancarie, assicurative, di trasporto, ecc.)",VERO
Modulo 2 - Unità didattica 2,Le aziende nel settore terziario,Possono essere le aziende che gestiscono i trasporti e le comunicazioni,VERO
Modulo 2 - Unità didattica 2,Le aziende nel settore terziario,"Possono basare il proprio core business sul know-how e sui servizi intellettuali (R&D, formazione, consulenza, ecc.)",VERO
Modulo 2 - Unità didattica 2,Quali dei seguenti asset possono essere affetti da problemi di Sicurezza Informatica?,Il sistema informativo gestionale,VERO
Modulo 2 - Unità didattica 2,Quali dei seguenti asset possono essere affetti da problemi di Sicurezza Informatica?,Il Web aziendale,VERO
Modulo 2 - Unità didattica 2,Quali dei seguenti asset possono essere affetti da problemi di Sicurezza Informatica?,"Sistemi elettromeccanici meccanici non dotati, in alcun modo, di sistemi elettronici a processore",FALSO
Modulo 2 - Unità didattica 2,Quali dei seguenti asset possono essere affetti da problemi di Sicurezza Informatica?,Il CAD o il CAM (Computer Aided Design/Manufacturing),VERO
Modulo 2 - Unità didattica 2,Quali dei seguenti asset possono essere affetti da problemi di Sicurezza Informatica?,Apparati di produzione con sistemi operativi standard non connessi alla rete aziendale,VERO
Modulo 2 - Unità didattica 2,Quali dei seguenti asset possono essere affetti da problemi di Sicurezza Informatica?,Il CRM (Customer Relationship Management),VERO
Modulo 2 - Unità didattica 2,Quali dei seguenti elementi possono essere considerati Vettori di Attacco,e-mail dannose,VERO
Modulo 2 - Unità didattica 2,Quali dei seguenti elementi possono essere considerati Vettori di Attacco,Pagina di phishing,VERO
Modulo 2 - Unità didattica 2,Quali dei seguenti elementi possono essere considerati Vettori di Attacco,Chiavette USB,VERO
Modulo 2 - Unità didattica 2,Quali dei seguenti elementi possono essere considerati Vettori di Attacco,Botnet,VERO
Modulo 2 - Unità didattica 2,Quali dei seguenti elementi possono essere considerati Vettori di Attacco,Vulnerabilità informatiche Zero-Day,FALSO
Modulo 2 - Unità didattica 2,Quali dei seguenti elementi possono essere considerati Vettori di Attacco,CVE (Common Vulnerability and Exposures),FALSO
Modulo 2 - Unità didattica 2,Quali dei seguenti possono essere considerati asset aziendali,"Sistemi informativi Gestionali (Contabilità, Bilancio, Tesoreria, Cassa, Controllo di Gestione)",VERO
Modulo 2 - Unità didattica 2,Quali dei seguenti possono essere considerati asset aziendali,"Conoscenza commerciale: clienti, storico degli ordini, pagamenti & insoluti",VERO
Modulo 2 - Unità didattica 2,Quali dei seguenti possono essere considerati asset aziendali,Impianti produttivi,VERO
Modulo 2 - Unità didattica 2,Quali dei seguenti possono essere considerati asset aziendali,Facility produttivi in affitto,FALSO
Modulo 2 - Unità didattica 2,Quali dei seguenti possono essere considerati asset aziendali,Know-how aziendale,VERO
Modulo 2 - Unità didattica 2,Quali dei seguenti possono essere considerati asset aziendali,Brevetti,VERO
Modulo 2 - Unità didattica 2,Quali delle seguenti Debolezze Tecnologiche possono essere sfruttate da un Vettore d'attacco,Vulnerabilità informatiche e mancato aggiornamento del software,VERO
Modulo 2 - Unità didattica 2,Quali delle seguenti Debolezze Tecnologiche possono essere sfruttate da un Vettore d'attacco,Vulnerabilità dell'hardware,VERO
Modulo 2 - Unità didattica 2,Quali delle seguenti Debolezze Tecnologiche possono essere sfruttate da un Vettore d'attacco,Gestione di identità e permessi non adeguata,VERO
Modulo 2 - Unità didattica 2,Quali delle seguenti Debolezze Tecnologiche possono essere sfruttate da un Vettore d'attacco,Tecnologia degli switches troppo complessa da configurare,FALSO
Modulo 2 - Unità didattica 2,Quali delle seguenti Debolezze Tecnologiche possono essere sfruttate da un Vettore d'attacco,Firewall correttamente configurato e connesso ma a basso costo,FALSO
Modulo 2 - Unità didattica 2,Quali delle seguenti Debolezze Tecnologiche possono essere sfruttate da un Vettore d'attacco,Meccanismi di autenticazione deboli (password deboli con singolo fattore di autenticazione),VERO
