Modulo,Domanda,Opzione,Risposta Corretta
M4 - UD1,Compiti del CIO (Chief Information Officer) (Variante),Firmare i contratti di assunzione del personale commerciale,FALSO
M4 - UD1,Cosa significa Costruire una Struttura Organizzativa?,Ripartire i compiti e le attività aziendali tra i diversi organi e ruoli,VERO
M4 - UD1,Cosa significa Costruire una Struttura Organizzativa?,"Raggruppare le attività in unità organizzative (funzioni, divisioni)",VERO
M4 - UD1,Cosa significa Costruire una Struttura Organizzativa?,Definire le relazioni di dipendenza gerarchica e funzionale,VERO
M4 - UD1,Cosa significa Costruire una Struttura Organizzativa?,"Stabilire i meccanismi di coordinamento, integrazione e comunicazione",VERO
M4 - UD1,Cosa significa Costruire una Struttura Organizzativa?,Sostituire immediatamente tutto il personale umano con sistemi automatizzati,FALSO
M4 - UD1,Cosa significa Costruire una Struttura Organizzativa?,Ignorare gli obiettivi strategici ed operativi a lungo termine,FALSO
M4 - UD1,Figure professionali e ruoli di sicurezza informatica,Security Auditor = Verifica la conformità dei sistemi agli standard di sicurezza,VERO
M4 - UD1,Figure professionali e ruoli di sicurezza informatica,Security Analyst = Analizza eventi e log per rilevare minacce e vulnerabilità,VERO
M4 - UD1,Figure professionali e ruoli di sicurezza informatica,Ethical Hacker = Esegue test d'intrusione autorizzati per identificare falle,VERO
M4 - UD1,Figure professionali e ruoli di sicurezza informatica,Informatico Forense = Raccoglie ed analizza prove digitali utilizzabili in sede legale,VERO
M4 - UD1,Figure professionali e ruoli di sicurezza informatica,Chief Security Officer = Responsabile unico della pulizia dei locali CED,FALSO
M4 - UD1,Figure professionali e ruoli di sicurezza informatica,DPO = Responsabile della vendita dei prodotti software sul mercato,FALSO
M4 - UD1,Il Controllo di Gestione,È il sistema con cui i dirigenti assicurano che le risorse siano usate in modo efficace ed efficiente,VERO
M4 - UD1,Il Controllo di Gestione,Monitora il raggiungimento degli obiettivi strategici ed operativi stabiliti,VERO
M4 - UD1,Il Controllo di Gestione,Supporta il processo decisionale attraverso reportistica e indicatori KPI,VERO
M4 - UD1,Il Controllo di Gestione,Verifica la scostamento tra risultati effettivi e budget preventivi,VERO
M4 - UD1,Il Controllo di Gestione,Si occupa solo di contabilità consuntiva senza alcuna fase di pianificazione,FALSO
M4 - UD1,Il Controllo di Gestione,Sostituisce completamente la pianificazione strategica aziendale,FALSO
M4 - UD1,Il modello di Burocrazia di Max Weber prevede (Variante),Una struttura gerarchica ben definita con divisione del lavoro,VERO
M4 - UD1,Il modello di Burocrazia di Max Weber prevede (Variante),"Atti, decisioni e regole rigorosamente scritti ed archiviati",VERO
M4 - UD1,Il modello di Burocrazia di Max Weber prevede (Variante),Selezione e promozione del personale basate su qualifiche tecniche,VERO
M4 - UD1,Il modello di Burocrazia di Max Weber prevede (Variante),Remunerazione fissa e percorso di carriera predeterminato,VERO
M4 - UD1,Il modello di Burocrazia di Max Weber prevede (Variante),Arbitrarietà e personalismo nelle decisioni dei dirigenti,FALSO
M4 - UD1,Il modello di Burocrazia di Max Weber prevede (Variante),Gestione puramente informale dei processi operativi aziendali,FALSO
M4 - UD1,Il modello Weil-Broadbent per l'allineamento tra IT e Business,Mette in relazione le strategie aziendali con l'infrastruttura IT,VERO
M4 - UD1,Il modello Weil-Broadbent per l'allineamento tra IT e Business,Considera l'infrastruttura IT come uno strato abilitante per i processi aziendali,VERO
M4 - UD1,Il modello Weil-Broadbent per l'allineamento tra IT e Business,"Distingue tra componenti tecnologiche, servizi IT e competenze professionali",VERO
M4 - UD1,Il modello Weil-Broadbent per l'allineamento tra IT e Business,Supporta la trasformazione delle capacità informatiche in valore d'impresa,VERO
M4 - UD1,Il modello Weil-Broadbent per l'allineamento tra IT e Business,Qualifica l'IT come semplice centro di costo privo di valore strategico,FALSO
M4 - UD1,Il modello Weil-Broadbent per l'allineamento tra IT e Business,Impone l'utilizzo esclusivo di software open source in azienda,FALSO
M4 - UD1,Il ruolo del DPO (Data Protection Officer) secondo la normativa GDPR,Fornire consulenza al Titolare ed al Responsabile del trattamento dati,VERO
M4 - UD1,Il ruolo del DPO (Data Protection Officer) secondo la normativa GDPR,Sorvegliare l'osservanza del Regolamento GDPR e delle politiche aziendali privacy,VERO
M4 - UD1,Il ruolo del DPO (Data Protection Officer) secondo la normativa GDPR,Fungere da punto di contatto per l'Autorità di Controllo (Garante Privacy),VERO
M4 - UD1,Il ruolo del DPO (Data Protection Officer) secondo la normativa GDPR,Fornire pareri in merito alla valutazione d'impatto sulla protezione dati (DPIA),VERO
M4 - UD1,Il ruolo del DPO (Data Protection Officer) secondo la normativa GDPR,Assumersi la responsabilità penale personale per ogni data breach aziendale,FALSO
M4 - UD1,Il ruolo del DPO (Data Protection Officer) secondo la normativa GDPR,Stabilire il prezzo di vendita dei beni e servizi prodotti dall'azienda,FALSO
M4 - UD1,Indicare quali dei seguenti sono compiti del CIO (Chief Information Officer),Definire la strategia tecnologica in linea con le finalità di business,VERO
M4 - UD1,Indicare quali dei seguenti sono compiti del CIO (Chief Information Officer),Pianificare e gestire il budget aziendale del dipartimento IT,VERO
M4 - UD1,Indicare quali dei seguenti sono compiti del CIO (Chief Information Officer),Supervisionare l'infrastruttura informatica ed i sistemi applicativi,VERO
M4 - UD1,Indicare quali dei seguenti sono compiti del CIO (Chief Information Officer),Promuovere l'efficienza e l'innovazione tecnologica nell'organizzazione,VERO
M4 - UD1,Indicare quali dei seguenti sono compiti del CIO (Chief Information Officer),Redigere direttamente i bilanci contabili d'esercizio della società,FALSO
M4 - UD1,Indicare quali dei seguenti sono compiti del CIO (Chief Information Officer),Sostituire il CISO nella gestione dei cancelli di sicurezza fisica,FALSO
M4 - UD1,Indicare quali dei seguenti sono compiti del CISO (Chief Information Security Officer),Definire ed aggiornare la politica di sicurezza delle informazioni (ISMS),VERO
M4 - UD1,Indicare quali dei seguenti sono compiti del CISO (Chief Information Security Officer),Coordinare la valutazione dei rischi cyber e la loro mitigazione,VERO
M4 - UD1,Indicare quali dei seguenti sono compiti del CISO (Chief Information Security Officer),Supervisionare il monitoraggio e la gestione degli incidenti di sicurezza,VERO
M4 - UD1,Indicare quali dei seguenti sono compiti del CISO (Chief Information Security Officer),Diffondere la cultura della sicurezza e la formazione del personale,VERO
M4 - UD1,Indicare quali dei seguenti sono compiti del CISO (Chief Information Security Officer),Sviluppare le campagne di marketing sui social media aziendali,FALSO
M4 - UD1,Indicare quali dei seguenti sono compiti del CISO (Chief Information Security Officer),Resettare manualmente le password di posta di tutti gli utenti,FALSO
M4 - UD1,L'IT come Centro di Costo e Centro di Profitto (Variante),Come centro di costo l'IT è valutato sul rispetto del budget assegnato,VERO
M4 - UD1,L'IT come Centro di Costo e Centro di Profitto (Variante),Come centro di profitto l'IT è valutato sui ricavi e sul valore generato,VERO
M4 - UD1,L'IT come Centro di Costo e Centro di Profitto (Variante),La transizione richiede un catalogo servizi ed una rendicontazione chiara,VERO
M4 - UD1,L'IT come Centro di Costo e Centro di Profitto (Variante),Permette di dimostrare il Ritorno sull'Investimento (ROI) delle tecnologie,VERO
M4 - UD1,L'IT come Centro di Costo e Centro di Profitto (Variante),Un centro di costo genera direttamente fatturato sul mercato esterno,FALSO
M4 - UD1,L'IT come Centro di Costo e Centro di Profitto (Variante),La trasformazione in centro di profitto richiede la soppressione del CISO,FALSO
M4 - UD1,L'Organigramma,È la rappresentazione grafica della struttura organizzativa aziendale,VERO
M4 - UD1,L'Organigramma,Mostra i livelli gerarchici e le relazioni di dipendenza formale,VERO
M4 - UD1,L'Organigramma,Evidenzia la divisione del lavoro in funzioni o divisioni aziendali,VERO
M4 - UD1,L'Organigramma,Indica i canali ufficiali di trasmissione dell'autorità e degli ordini,VERO
M4 - UD1,L'Organigramma,Descrive in dettaglio analitico tutte le singole procedure operative,FALSO
M4 - UD1,L'Organigramma,È un documento segreto che non può essere diffuso al personale,FALSO
M4 - UD1,La figura aziendale dell'Informativo Forense,"una funzone tecnica coinvolta nella raccolta di dati circa l'utilizzo di sistemi, reti e applicazioni e analisi degli stessi in relazione ad incidenti di cybersecurity",VERO
M4 - UD1,La figura aziendale dell'Informativo Forense,Si occupa della raccolta e all'analisi dei dati e di redigere una documentazione idonea alla presentazione in sede processuale.,VERO
M4 - UD1,La figura aziendale dell'Informativo Forense,Deve avere conoscenza delle tecniche di Vulnerability Assessment,FALSO
M4 - UD1,La figura aziendale dell'Informativo Forense,Deve saper utilizzare tool di reverse engineering,FALSO
M4 - UD1,La figura aziendale dell'Informativo Forense,Deve avere abilita' di analisi e attenzione al dettaglio,VERO
M4 - UD1,La figura aziendale dell'Informativo Forense,Deve conoscere tools e framework per la simulazione di attacchi Cyber,FALSO
M4 - UD1,La figura del CISO,Ha la responsabilita' aziendale della Sicurezza Informatica,VERO
M4 - UD1,La figura del CISO,Ha la responsabilita' aziendale della Sicurezza,FALSO
M4 - UD1,La figura del CISO,Ha la responsabilita' di sviluppare una strategia aziendale perchè i beni e le tecnologie d'informazione aziendali siano adeguatamente protetti,VERO
M4 - UD1,La figura del CISO,Ha responsabilita' aziendale sui Sistemi Informativi,FALSO
M4 - UD1,La figura del CISO,Necessita di buone doti di comunicazione per comunicare le scelte per la gestione del rischio e spiegare le soluzioni tecnologiche adottate,VERO
M4 - UD1,La figura del CISO,E' di solito un professionista esterno all'organizzazione,FALSO
M4 - UD1,La figura del Security Auditor ,Valuta attraverso un'analisi documentale esterna l'efficacia delle soluzioni tecniche di sicurezza informatica adottate ,FALSO
M4 - UD1,La figura del Security Auditor ,Ispeziona direttamente e valuta l'efficacia delle soluzioni tecniche adottate per garantire la sicurezza di un sistema informativo,VERO
M4 - UD1,La figura del Security Auditor ,Lavora unicamente in un gruppo di Auditing Interno alle dirette dipendenze dell'organizzazione,FALSO
M4 - UD1,La figura del Security Auditor ,Può essere un consulente esterno,VERO
M4 - UD1,La figura del Security Auditor ,Di solito ha la certificazione ISO 27001,VERO
M4 - UD1,La figura del Security Auditor ,Ha di solito una preparazione tecnica informatica sviluppata nell'area della programmazione,VERO
M4 - UD1,La Struttura Organizzativa Divisionale,"Raggruppa le attività in base ai prodotti, servizi, clienti o aree geografiche",VERO
M4 - UD1,La Struttura Organizzativa Divisionale,Ogni divisione funziona quasi come un'azienda autonoma con proprie funzioni,VERO
M4 - UD1,La Struttura Organizzativa Divisionale,Favorisce il decentramento decisionale e la flessibilità strategica,VERO
M4 - UD1,La Struttura Organizzativa Divisionale,Può comportare duplicazione di risorse e maggiori costi generali,VERO
M4 - UD1,La Struttura Organizzativa Divisionale,Garantisce la massima efficienza di scala rispetto alla struttura funzionale,FALSO
M4 - UD1,La Struttura Organizzativa Divisionale,Elimina del tutto la necessità di una direzione generale centrale,FALSO
M4 - UD1,La Struttura Organizzativa Divisionale per Area Geografica,Raggruppa le attività in base al territorio o mercato geografico servito,VERO
M4 - UD1,La Struttura Organizzativa Divisionale per Area Geografica,È indicata per aziende operanti su vasti territori o a livello internazionale,VERO
M4 - UD1,La Struttura Organizzativa Divisionale per Area Geografica,Permette di adattare le offerte alle esigenze specifiche dei mercati locali,VERO
M4 - UD1,La Struttura Organizzativa Divisionale per Area Geografica,Genera possibili duplicazioni di strutture funzionali nelle diverse regioni,VERO
M4 - UD1,La Struttura Organizzativa Divisionale per Area Geografica,Centralizza rigidamente tutte le decisioni operative in un'unica sede,FALSO
M4 - UD1,La Struttura Organizzativa Divisionale per Area Geografica,È vietata dalle normative sul commercio internazionale,FALSO
M4 - UD1,La Struttura Organizzativa Funzionale,"È la soluzione organizzativa dove le attivita' sono divise per ""specialita'"", ovvero le operazioni della medesima natura sono raggruppate tra Ioro",VERO
M4 - UD1,La Struttura Organizzativa Funzionale,"la soluzione organizzativa dove le attivita' sono divise per ""specialita'"", ovvero le operazioni della medesima natura sono raggruppate per area geografica",FALSO
M4 - UD1,La Struttura Organizzativa Funzionale,Ha come vantaggio l'incremento dell'efficienza della direzione poichè i manager possono concentrare la loro attivita' in un solo settore di attivita',VERO
M4 - UD1,La Struttura Organizzativa Funzionale,Ha come svantaggio il minore coordinamento all'interno della funzione a causa dell'assegnazione del potere decisionale ad un solo general manager per tutte le funzioni,FALSO
M4 - UD1,La Struttura Organizzativa Funzionale,"Ha come vantaggio la moltiplicazione dei livelli gerarchici, rendendo più semplice il coordinamento tra le funzioni",FALSO
M4 - UD1,La Struttura Organizzativa Funzionale,"Ha come rischio l'eccessiva focalizzazione da parte del manager sulla propria funzione, dandole eccessiva rilevanza rispetto alle altre attivita' aziendali",VERO
M4 - UD1,La Struttura Organizzativa permette di,"Costruire una ""spina dorsale"" dell'impresa attraverso la sola analisi delle attivita' attuali dell'organizzazione",FALSO
M4 - UD1,La Struttura Organizzativa permette di,"Scegliere l'assetto legale che si ritiene più appropriato rispetto allo scopo aziendale (impresa individuale, impresa di capitali o altro)",VERO
M4 - UD1,La Struttura Organizzativa permette di,Dare «ordine» alle parti e ai loro compiti; creando un assetto organizzativo fisso e invariabile,FALSO
M4 - UD1,La Struttura Organizzativa permette di,"Dare «ordine» alle parti e ai loro compiti; creando un assetto organizzativo stabile, ancorchè modificabile",VERO
M4 - UD1,La Struttura Organizzativa permette di,Definire «regole» e «procedure» di comportamento delle parti e dei partecipanti.,VERO
M4 - UD1,La Struttura Organizzativa permette di,"Progettare il modello, ovvero la configurazione, dell'assetto organizzativo che è rappresentato dall'organigramma dell'impresa",VERO
M4 - UD1,Perchè è necessario mantenere allineati gli obiettivi IT e il business aziendale?,Per massimizzare gli effetti degli investimenti nel reparto e le infrastrutture IT,VERO
M4 - UD1,Perchè è necessario mantenere allineati gli obiettivi IT e il business aziendale?,Perchè il processo di digitalizzazione può diventare un vantaggio competitivo per le organizzazioni,VERO
M4 - UD1,Perchè è necessario mantenere allineati gli obiettivi IT e il business aziendale?,Perchè lo impongono le normative europee,FALSO
M4 - UD1,Perchè è necessario mantenere allineati gli obiettivi IT e il business aziendale?,Perchè è necessario aggiornare costantemente l'impatto che può avere I'IT con la business continuity,VERO
M4 - UD1,Perchè è necessario mantenere allineati gli obiettivi IT e il business aziendale?,Perchè il budget di spesa IT deriva dal valore che I'IT riesce esprimere nel Piano Strategico aziendale,VERO
M4 - UD1,Perchè è necessario mantenere allineati gli obiettivi IT e il business aziendale?,Perchè il Portfolio IT (insieme degli asset IT) deve allineare la strategia ICT,FALSO
M4 - UD1,Perchè l'IT può essere considerato un centro di costo?,Per la scarsa sensibilita' e skills digitali del top management,VERO
M4 - UD1,Perchè l'IT può essere considerato un centro di costo?,A causa della scarsa progettualita' dell'azienda,VERO
M4 - UD1,Perchè l'IT può essere considerato un centro di costo?,A causa della scarsa propensione allo sviluppo commerciale globale dell'azienda,VERO
M4 - UD1,Perchè l'IT può essere considerato un centro di costo?,Perchè l'informatica in quell'azienda di fatto non serve,FALSO
M4 - UD1,Perchè l'IT può essere considerato un centro di costo?,Perchè si sono subiti attacchi informatici,FALSO
M4 - UD1,Perchè l'IT può essere considerato un centro di costo?,A causa della probabile scarsa propensione alla competitivita' dell'azienda (forse perchè è un azienda che opera su un mercato monopolistico),VERO
M4 - UD1,Perché organizzare l'azienda?,Per coordinare le attività umane e le risorse verso obiettivi comuni,VERO
M4 - UD1,Perché organizzare l'azienda?,"Per definire chiaramente ruoli, responsabilità e linee di autorità",VERO
M4 - UD1,Perché organizzare l'azienda?,Per ottimizzare l'uso delle risorse e ridurre le inefficienze,VERO
M4 - UD1,Perché organizzare l'azienda?,Per garantire la continuità e la stabilità operativa nel tempo,VERO
M4 - UD1,Perché organizzare l'azienda?,Per eliminare completamente la necessità di controllo di gestione,FALSO
M4 - UD1,Perché organizzare l'azienda?,Per evitare la stesura di procedure e regolamenti scritti,FALSO
M4 - UD1,Principi fondamentali di organizzazione aziendale,Specializzazione e divisione del lavoro,VERO
M4 - UD1,Principi fondamentali di organizzazione aziendale,Unità di comando e rispetto della catena gerarchica,VERO
M4 - UD1,Principi fondamentali di organizzazione aziendale,Ampiezza del controllo (Span of Control) adeguata,VERO
M4 - UD1,Principi fondamentali di organizzazione aziendale,Delega dell'autorità bilanciata dalla responsabilità,VERO
M4 - UD1,Principi fondamentali di organizzazione aziendale,Anarchia operativa e decisionale tra i vari reparti,FALSO
M4 - UD1,Principi fondamentali di organizzazione aziendale,Assenza totale di coordinamento tra le unità organizzative,FALSO
M4 - UD1,Quali dei seguenti sono compiti del CIO (Chief Information Officer),Contribuire all'analisi e alla definizione dei processi aziendali,VERO
M4 - UD1,Quali dei seguenti sono compiti del CIO (Chief Information Officer),"Definire, insieme alla direzione generale, gli obiettivi aziendali ed il contributo dell'informatica per il loro raggiungimento",VERO
M4 - UD1,Quali dei seguenti sono compiti del CIO (Chief Information Officer),Definire e gestire il budget destinato ai Sistemi Informativi e coordinare il reparto IT,VERO
M4 - UD1,Quali dei seguenti sono compiti del CIO (Chief Information Officer),Avere competenze ed essere costantemente aggiornato sulle nuove tecnologie,VERO
M4 - UD1,Quali dei seguenti sono compiti del CIO (Chief Information Officer),Avere in tutte le organizzazione responsabilita' sulla Cyber Sicurezza dei sistemi informativi,FALSO
M4 - UD1,Quali dei seguenti sono compiti del CIO (Chief Information Officer),Avere responsabilita' diretta sulla sicurezza del business,FALSO
M4 - UD1,Quali dei seguenti sono compiti del CISO (Chief Information Security Officer),"Realizzare assessment sulla ""postura"" di sicurezza informatica dell'organizzazione",VERO
M4 - UD1,Quali dei seguenti sono compiti del CISO (Chief Information Security Officer),Analizzare in maniera attualizzata il rischio cyber,VERO
M4 - UD1,Quali dei seguenti sono compiti del CISO (Chief Information Security Officer),Identificare tempestivamente le potenziali minacce per l'organizzazione di natura informatica e cyber,VERO
M4 - UD1,Quali dei seguenti sono compiti del CISO (Chief Information Security Officer),Contribuire all'analisi e alla definizione dei processi aziendali,FALSO
M4 - UD1,Quali dei seguenti sono compiti del CISO (Chief Information Security Officer),Definire l'allineamento della strategia IT con il piano strategico aziendale,FALSO
M4 - UD1,Quali dei seguenti sono compiti del CISO (Chief Information Security Officer),Collaborare all'investigazione forense,VERO
M4 - UD1,Quali possono essere i rischi nel caso in cui il CIO risponda al CFO nell'organizzazione aziendale,Difficolta' ad ottenere budget di spesa per I'IT,VERO
M4 - UD1,Quali possono essere i rischi nel caso in cui il CIO risponda al CFO nell'organizzazione aziendale,Difficolta' di allineamento tra strategie IT e il business,VERO
M4 - UD1,Quali possono essere i rischi nel caso in cui il CIO risponda al CFO nell'organizzazione aziendale,Le decisioni del top management in relazione all'IT sono troppo condizionate dagli aspetti finanziari,VERO
M4 - UD1,Quali possono essere i rischi nel caso in cui il CIO risponda al CFO nell'organizzazione aziendale,Le decisioni del top management in relazione all'IT sono troppo condizionate dagli aspetti legati al business,FALSO
M4 - UD1,Quali possono essere i rischi nel caso in cui il CIO risponda al CFO nell'organizzazione aziendale,Le decisioni del top management in relazione all'IT sono troppo condizionate dagli aspetti legati agli aspetti legati alla produzione,FALSO
M4 - UD1,Quali possono essere i rischi nel caso in cui il CIO risponda al CFO nell'organizzazione aziendale,Estrema difficolta' ad ottenere budget di spesa per la Cyber Security,VERO
M4 - UD1,Quali possono essere le ragioni per investire in Digitalizzazione?,Aumentare l'efficienza operativa e velocizzare i processi aziendali,VERO
M4 - UD1,Quali possono essere le ragioni per investire in Digitalizzazione?,"Sviluppare nuovi prodotti, servizi digitali ed innovativi canali di vendita",VERO
M4 - UD1,Quali possono essere le ragioni per investire in Digitalizzazione?,Migliorare l'esperienza d'uso e la soddisfazione del cliente (Customer Experience),VERO
M4 - UD1,Quali possono essere le ragioni per investire in Digitalizzazione?,Rendere l'organizzazione più flessibile ed adatta ai cambiamenti di mercato,VERO
M4 - UD1,Quali possono essere le ragioni per investire in Digitalizzazione?,Incentivare l'uso esclusivo di documenti cartacei per la gestione archivi,FALSO
M4 - UD1,Quali possono essere le ragioni per investire in Digitalizzazione?,Garantire l'isolamento dell'azienda dalle reti informatiche e da internet,FALSO
M4 - UD1,Quali tra le seguenti caratteristiche rientrano nel modello di Burocrazia secondo Max Weber,Gerarchia degli uffici,VERO
M4 - UD1,Quali tra le seguenti caratteristiche rientrano nel modello di Burocrazia secondo Max Weber,Competenza disciplinata da regole e regolamenti formalizzati,VERO
M4 - UD1,Quali tra le seguenti caratteristiche rientrano nel modello di Burocrazia secondo Max Weber,Preparazione specializzata dei funzionari e dei dipendenti,VERO
M4 - UD1,Quali tra le seguenti caratteristiche rientrano nel modello di Burocrazia secondo Max Weber,Assunzione del personale tramite concorso o selezione tecnica,VERO
M4 - UD1,Quali tra le seguenti caratteristiche rientrano nel modello di Burocrazia secondo Max Weber,Proprietà dei mezzi di produzione da parte dei singoli lavoratori,FALSO
M4 - UD1,Quali tra le seguenti caratteristiche rientrano nel modello di Burocrazia secondo Max Weber,Assenza di regole e regolamenti scritti all'interno dell'organizzazione,FALSO
M4 - UD1,"Un'azienda che, relativamente alla cybersecurity, privilegia gli aspetti tecnologici ed infrastrutturali può prevedere una struttura organizzativa",In cui il CISO dipende direttamente dal CIO,VERO
M4 - UD1,"Un'azienda che, relativamente alla cybersecurity, privilegia gli aspetti tecnologici ed infrastrutturali può prevedere una struttura organizzativa",In cui il CISO dipende direttamente dal CSO,FALSO
M4 - UD1,"Un'azienda che, relativamente alla cybersecurity, privilegia gli aspetti tecnologici ed infrastrutturali può prevedere una struttura organizzativa",In cui il CISO dipende direttamente dal CRO,FALSO
M4 - UD1,"Un'azienda che, relativamente alla cybersecurity, privilegia gli aspetti tecnologici ed infrastrutturali può prevedere una struttura organizzativa",In cui il CISO dipende direttamente dal Capo della Produzione,FALSO
M4 - UD1,"Un'azienda che, relativamente alla cybersecurity, privilegia gli aspetti tecnologici ed infrastrutturali può prevedere una struttura organizzativa",In cui il CISO ha funzioni maggiormente orientate agli aspetti logici (software) e meno i fisici (hardware e persone),VERO
M4 - UD1,"Un'azienda che, relativamente alla cybersecurity, privilegia gli aspetti tecnologici ed infrastrutturali può prevedere una struttura organizzativa",In cui il CISO risponde direttamente al CEO,FALSO
M4 - UD1,Verificare la correttezza del significato delle sigle corrispondenti alle figure professionali,CIO = Chief Information Officer,VERO
M4 - UD1,Verificare la correttezza del significato delle sigle corrispondenti alle figure professionali,CISO = Chief Information Security Officer,VERO
M4 - UD1,Verificare la correttezza del significato delle sigle corrispondenti alle figure professionali,CSO = Chief Security Officer,VERO
M4 - UD1,Verificare la correttezza del significato delle sigle corrispondenti alle figure professionali,DPO = Data Protection Officer,VERO
M4 - UD1,Verificare la correttezza del significato delle sigle corrispondenti alle figure professionali,CTO = Chief Technical Officer,VERO
M4 - UD1,Verificare la correttezza del significato delle sigle corrispondenti alle figure professionali,CEO = Chief Encryption Officer,FALSO
M4 - UD2,Esternalizzare i servizi informatici in Cloud,"Fornisce flessibilità, scalabilità e rapidità di provisioning delle risorse",VERO
M4 - UD2,Esternalizzare i servizi informatici in Cloud,Trasforma spese di capitale (CapEx) in costi operativi variabili (OpEx),VERO
M4 - UD2,Esternalizzare i servizi informatici in Cloud,Richiede la comprensione del Modello di Responsabilità Condivisa,VERO
M4 - UD2,Esternalizzare i servizi informatici in Cloud,Impone il rispetto delle normative sulla localizzazione e trasferimento dei dati,VERO
M4 - UD2,Esternalizzare i servizi informatici in Cloud,Garantisce che il provider si assuma ogni penale legale in caso di data breach,FALSO
M4 - UD2,Esternalizzare i servizi informatici in Cloud,Rende del tutto impossibile l'integrazione con i sistemi aziendali interni,FALSO
M4 - UD2,Esternalizzare l'infrastruttura IT (CED),Riduce i costi di investimento iniziale in hardware e locali fisici (CapEx),VERO
M4 - UD2,Esternalizzare l'infrastruttura IT (CED),Permette di beneficiare di competenze specialistiche e livelli di servizio (SLA),VERO
M4 - UD2,Esternalizzare l'infrastruttura IT (CED),Richiede la gestione dei rischi legati al Vendor Lock-in ed alla dipendenza da terzi,VERO
M4 - UD2,Esternalizzare l'infrastruttura IT (CED),Impone clausole contrattuali rigorose per garantire riservatezza e sicurezza,VERO
M4 - UD2,Esternalizzare l'infrastruttura IT (CED),Trasferisce al fornitore la piena responsabilità legale sul trattamento dei dati,FALSO
M4 - UD2,Esternalizzare l'infrastruttura IT (CED),Impedisce all'azienda cliente di accedere ai propri dati in qualsiasi momento,FALSO
M4 - UD2,Il Business Continuity Plan (BCP),Pianifica le azioni per garantire la continuità delle attività critiche in caso di crisi,VERO
M4 - UD2,Il Business Continuity Plan (BCP),Riduce i tempi di inattività (Downtime) e limita le perdite finanziarie e d'immagine,VERO
M4 - UD2,Il Business Continuity Plan (BCP),Definisce metriche chiave come Recovery Time Objective (RTO) e Recovery Point Objective (RPO),VERO
M4 - UD2,Il Business Continuity Plan (BCP),"Deve essere periodicamente testato, riesaminato ed aggiornato",VERO
M4 - UD2,Il Business Continuity Plan (BCP),Serve unicamente al ripristino di file accidentalmente cancellati dal cestino,FALSO
M4 - UD2,Il Business Continuity Plan (BCP),Rende superflua la realizzazione di copie di backup dei dati aziendali,FALSO
M4 - UD2,Il modello PaaS (Platform as a Service) prevede,"La fornitura di hardware, sistema operativo ed ambiente di sviluppo/runtime",VERO
M4 - UD2,Il modello PaaS (Platform as a Service) prevede,"Che il cliente sviluppi, testi e gestisca le proprie applicazioni sulla piattaforma",VERO
M4 - UD2,Il modello PaaS (Platform as a Service) prevede,Che il provider curi l'aggiornamento e la sicurezza della piattaforma e del database,VERO
M4 - UD2,Il modello PaaS (Platform as a Service) prevede,La semplificazione del lavoro dei programmatori sgravandoli dalla gestione server,VERO
M4 - UD2,Il modello PaaS (Platform as a Service) prevede,L'obbligo per il cliente di eseguire la manutenzione dei componenti hardware,FALSO
